EVENT_ID,SERIES_ID,EVENT_NAME,EVENT_STATUS,ANNUAL_OR_RECURRING,FIRST_YEAR,CATEGORY,SUBCATEGORY,START_DATE,END_DATE,DAY_OF_WEEK,START_TIME,END_TIME,TIME_NOTES,BOROUGH,NEIGHBORHOOD,VENUE,FULL_ADDRESS,STREET_NAME,STREET_FROM,STREET_TO,CROSS_STREETS,ZIP_CODE,LATITUDE,LONGITUDE,GOOGLE_MAPS_URL,APPLE_MAPS_URL,NEAREST_SUBWAY,NEAREST_BUS,PARKING_NOTES,ADMISSION,TICKET_URL,ESTIMATED_ATTENDANCE,EXPECTED_CROWD,PHOTO_VALUE,NEWS_VALUE,BEST_SHOOTING_TIME,PHOTO_SUBJECTS,GOLDEN_HOUR_NOTES,BLUE_HOUR_NOTES,PRESS_CREDENTIAL_NOTES,DRONE_NOTES,LIVE_MUSIC,FOOD_VENDORS,RIDES,PARADE,PROCESSION,FIREWORKS,ORGANIZER,OFFICIAL_WEBSITE,OFFICIAL_SOCIAL_MEDIA,PERMIT_ID,PERMIT_AGENCY,PRIMARY_SOURCE,SECONDARY_SOURCE,ADDITIONAL_SOURCES,SOURCE_CONFIDENCE,LAST_VERIFIED,RESEARCH_NOTES
NYC-2026-SI-000038,SNUG-AFRICAN-FILM-SCREENING,Soundtrack to a Coup d’État Outdoor Screening,Confirmed,Annual / Returning,Unknown,Film Screening,African Film Festival outdoor screening,2026-07-16,2026-07-16,Thursday,19:45,22:30,Doors 7:30 PM; pre-screening jazz set; film at 8:15 PM.,Staten Island,New Brighton,Snug Harbor — South Meadow,"1000 Richmond Terrace, Staten Island, NY 10301",Richmond Terrace,Unknown,Unknown,Unknown,10301,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=1000+Richmond+Terrace%2C+Staten+Island%2C+NY+10301,https://maps.apple.com/?q=1000+Richmond+Terrace%2C+Staten+Island%2C+NY+10301,Unknown,Unknown,Unknown,Free; registration available,Unknown,Unknown,Medium to large,4,3,"19:30 arrivals, jazz set, and blue-hour audience coverage",Outdoor cinema; jazz performance; African film community; audience; meadow at night,Unknown,Outdoor screening and live pre-set offer strong blue-hour coverage.,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Yes,Unknown,No,No,No,No,African Film Festival / Snug Harbor / Universal Temple of the Arts,https://snug-harbor.org/event/soundtrack-to-a-coup-detat-presented-by-african-film-festival-snug-harbor-universal-temple-of-the-arts/,Unknown,Unknown,Unknown,https://snug-harbor.org/event/soundtrack-to-a-coup-detat-presented-by-african-film-festival-snug-harbor-universal-temple-of-the-arts/,Unknown,Unknown,High,2026-07-16,"Official page confirms date, exact program times, location, free admission, and partners."
NYC-2026-BK-000043,PERMIT-953246,Community Stop the Gun Violence Summer Stewardship Program,Permitted,One-time / Unknown,Unknown,Civic Event,Violence-prevention community program,2026-07-17,2026-07-17,Friday,11:00,18:00,Unknown,Brooklyn,Crown Heights / Weeksville,Lincoln Terrace / Arthur S. Somers Park,"Lincoln Terrace / Arthur S. Somers Park at Rochester Avenue, Brooklyn, NY",Rochester Avenue,Unknown,Unknown,Park perimeter lawn,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Lincoln+Terrace+%2F+Arthur+S.+Somers+Park+at+Rochester+Avenue%2C+Brooklyn%2C+NY,https://maps.apple.com/?q=Lincoln+Terrace+%2F+Arthur+S.+Somers+Park+at+Rochester+Avenue%2C+Brooklyn%2C+NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,3,4,11:00–18:00,Community organizers; youth engagement; anti-violence messaging; neighborhood life,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Unknown,Unknown,No,No,No,No,Community Stop the Gun Violence / NYC Parks,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,Unknown,953246,Parks Department,https://data.cityofnewyork.us/resource/tvpp-9vvx.json,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,https://nyceventpermits.nyc.gov/cems/findevents,High,2026-07-16,"Approved public-event record extracted from NYC Permitted Event Information. Descriptive and editorial fields were normalized for this database; permit title, date, time, borough, location, agency, and permit ID are source facts."
NYC-2026-MN-000119,PERMIT-932562,"Herald Square Music, Fitness and Circus Arts Program",Permitted,One-time / Unknown,Unknown,Public Performance,Plaza programming,2026-07-17,2026-07-17,Friday,08:00,21:00,Unknown,Manhattan,Midtown,Herald Square Plaza,"Broadway between West 35th Street and West 36th Street, New York, NY",Broadway,West 35th Street,West 36th Street,West 35th Street / West 36th Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Broadway+between+West+35th+Street+and+West+36th+Street%2C+New+York%2C+NY,https://maps.apple.com/?q=Broadway+between+West+35th+Street+and+West+36th+Street%2C+New+York%2C+NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,4,2,08:00–21:00,Musicians; fitness participants; circus artists; Midtown public space,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Yes,Unknown,No,No,No,No,Herald Square plaza partner / SAPO permit applicant,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,Unknown,932562,SAPO,https://data.cityofnewyork.us/resource/tvpp-9vvx.json,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,https://nyceventpermits.nyc.gov/cems/findevents,High,2026-07-16,"Approved public-event record extracted from NYC Permitted Event Information. Descriptive and editorial fields were normalized for this database; permit title, date, time, borough, location, agency, and permit ID are source facts."
NYC-2026-QN-000028,PERMIT-910196,Zumba 2026 — July Class,Permitted,Recurring,Unknown,Public Fitness,Outdoor dance fitness,2026-07-17,2026-07-17,Friday,18:30,20:30,Unknown,Queens,Richmond Hill,Phil “Scooter” Rizzuto Park — Handball Court 01,"Phil Scooter Rizzuto Park, Atlantic Avenue and 125th Street, Queens, NY",Atlantic Avenue,Unknown,Unknown,125th Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Phil+Scooter+Rizzuto+Park%2C+Atlantic+Avenue+and+125th+Street%2C+Queens%2C+NY,https://maps.apple.com/?q=Phil+Scooter+Rizzuto+Park%2C+Atlantic+Avenue+and+125th+Street%2C+Queens%2C+NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,3,2,18:30–20:30,Dance fitness; community participation; sunset park activity,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Unknown,Unknown,No,No,No,No,Permit applicant / NYC Parks,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,Unknown,910196,Parks Department,https://data.cityofnewyork.us/resource/tvpp-9vvx.json,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,https://nyceventpermits.nyc.gov/cems/findevents,High,2026-07-16,"Approved public-event record extracted from NYC Permitted Event Information. Descriptive and editorial fields were normalized for this database; permit title, date, time, borough, location, agency, and permit ID are source facts."
NYC-2026-SI-000039,HRT-SUMMER-FRIDAYS,Summer Fridays at Historic Richmond Town,Confirmed,Weekly recurring series,Unknown,Community Festival,Weekly outdoor evening,2026-07-17,2026-07-17,Friday,16:00,20:00,Unknown,Staten Island,Richmondtown,Historic Richmond Town,"441 Clarke Avenue, Staten Island, NY 10306",Clarke Avenue,Unknown,Unknown,Unknown,10306,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=441+Clarke+Avenue%2C+Staten+Island%2C+NY+10306,https://maps.apple.com/?q=441+Clarke+Avenue%2C+Staten+Island%2C+NY+10306,Unknown,Unknown,Unknown,Free,Unknown,Unknown,Medium,4,2,16:00–20:00,Historic village; food and drinks; families; outdoor relaxation; community life,Late-day hours provide strong light around historic structures.,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Unknown,Yes,No,No,No,No,Historic Richmond Town,https://www.historicrichmondtown.org/events/2025/6/26/summerfridays,Unknown,Unknown,Unknown,https://www.historicrichmondtown.org/events/2025/6/26/summerfridays,Unknown,Unknown,High,2026-07-16,"Official page states every Friday in July and August from 4:00–8:00 PM, free and open to all. July 10 was separately postponed; only in-scope later Fridays are exported."
NYC-2026-BK-000044,BAT-TEKSUPPORT,Live Music Concert with Teksupport,Confirmed,Recurring venue series,Unknown,Live Music,Ticketed concert,2026-07-18,2026-07-18,Saturday,15:00,22:00,Unknown,Brooklyn,Sunset Park,Brooklyn Army Terminal,"140 58th Street, Brooklyn, NY 11220",58th Street,Unknown,Unknown,First Avenue / Brooklyn waterfront,11220,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=140+58th+Street%2C+Brooklyn%2C+NY+11220,https://maps.apple.com/?q=140+58th+Street%2C+Brooklyn%2C+NY+11220,N or R to 59th Street; additional ferry and bus options,Unknown,Venue advises checking pier and event-specific parking closures.,Ticketed,Unknown,Unknown,Large,5,3,15:00–22:00,Waterfront crowd; performers; families; industrial architecture; sunset views,Waterfront location offers strong late-day and sunset potential.,"Evening events offer skyline, stage-light, and industrial-background opportunities.",Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Yes,Unknown,No,No,No,No,Brooklyn Army Terminal / NYCEDC and event partners,https://brooklynarmyterminal.com/events,Unknown,Unknown,Unknown,https://brooklynarmyterminal.com/events,Unknown,Unknown,High,2026-07-16,"Date, time, event description, venue area, and address verified from the current official Brooklyn Army Terminal event calendar. Ticket links and programming remain subject to organizer changes."
NYC-2026-QN-000029,PERMIT-953357,NYRR Open Run at Astoria Park,Permitted,Recurring,Unknown,Race,Community open run,2026-07-18,2026-07-18,Saturday,08:00,11:00,Unknown,Queens,Astoria,Astoria Park — Great Lawn 02,"Astoria Park, Ditmars Boulevard and 19th Street, Astoria, NY 11105",Ditmars Boulevard,Unknown,Unknown,19th Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Astoria+Park%2C+Ditmars+Boulevard+and+19th+Street%2C+Astoria%2C+NY+11105,https://maps.apple.com/?q=Astoria+Park%2C+Ditmars+Boulevard+and+19th+Street%2C+Astoria%2C+NY+11105,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,3,2,08:00–11:00,Runners; volunteers; waterfront park; community fitness,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Unknown,Unknown,No,No,No,No,New York Road Runners / NYC Parks,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,Unknown,953357,Parks Department,https://data.cityofnewyork.us/resource/tvpp-9vvx.json,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,https://nyceventpermits.nyc.gov/cems/findevents,High,2026-07-16,"Approved public-event record extracted from NYC Permitted Event Information. Descriptive and editorial fields were normalized for this database; permit title, date, time, borough, location, agency, and permit ID are source facts."
NYC-2026-SI-000040,SNUG-WORLD-CUP-WATCH,World Cup Watch Party at Snug Harbor,Confirmed,Annual / Returning,Unknown,Public Watch Party,Soccer watch party,2026-07-18,2026-07-18,Saturday,14:00,21:00,Unknown,Staten Island,New Brighton,Snug Harbor — South Meadow,"1000 Richmond Terrace, Staten Island, NY 10301",Richmond Terrace,Unknown,Unknown,Unknown,10301,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=1000+Richmond+Terrace%2C+Staten+Island%2C+NY+10301,https://maps.apple.com/?q=1000+Richmond+Terrace%2C+Staten+Island%2C+NY+10301,Unknown,Unknown,Unknown,Free; registration required,Unknown,Unknown,Large,5,4,Pre-match activities through final whistle,Soccer fans; giant screen; youth clinics; music; food trucks; reactions,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Yes,Yes,No,No,No,No,Snug Harbor and public partners,https://snug-harbor.org/event/world-cup-watch-party-at-snug-harbor/,Unknown,Unknown,Unknown,https://snug-harbor.org/event/world-cup-watch-party-at-snug-harbor/,https://snug-harbor.org/visit/directions-parking/,Unknown,High,2026-07-16,"Official page confirms July 18, 2:00–9:00 PM, South Meadow, free registration, giant screen, clinics, music, and food trucks. The page text uses inconsistent match labeling, so the neutral official event title is retained."
NYC-2026-BK-000045,PERMIT-946869,Douglass Street Block 415 Party,Permitted,One-time / Unknown,Unknown,Block Party,Public neighborhood block party,2026-07-19,2026-07-19,Sunday,13:00,19:00,Unknown,Brooklyn,Boerum Hill,Douglass Street,"Douglass Street between Smith Street and Hoyt Street, Brooklyn, NY",Douglass Street,Smith Street,Hoyt Street,Smith Street / Hoyt Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Douglass+Street+between+Smith+Street+and+Hoyt+Street%2C+Brooklyn%2C+NY,https://maps.apple.com/?q=Douglass+Street+between+Smith+Street+and+Hoyt+Street%2C+Brooklyn%2C+NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,3,2,13:00–19:00,Neighbors; children; stoops; community street life,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Unknown,Unknown,No,No,No,No,Block association / SAPO permit applicant,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,Unknown,946869,SAPO,https://data.cityofnewyork.us/resource/tvpp-9vvx.json,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,https://nyceventpermits.nyc.gov/cems/findevents,High,2026-07-16,"Approved public-event record extracted from NYC Permitted Event Information. Descriptive and editorial fields were normalized for this database; permit title, date, time, borough, location, agency, and permit ID are source facts."
NYC-2026-BK-000046,BAT-SUMMER-TERMINAL,Summer at the Terminal: Family Soccer Day,Confirmed,Recurring venue series,Unknown,Community Festival,Family soccer festival,2026-07-19,2026-07-19,Sunday,10:00,16:00,Unknown,Brooklyn,Sunset Park,Brooklyn Army Terminal — Ferry Plaza Park,"140 58th Street, Brooklyn, NY 11220",58th Street,Unknown,Unknown,First Avenue / Brooklyn waterfront,11220,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=140+58th+Street%2C+Brooklyn%2C+NY+11220,https://maps.apple.com/?q=140+58th+Street%2C+Brooklyn%2C+NY+11220,N or R to 59th Street; additional ferry and bus options,Unknown,Venue advises checking pier and event-specific parking closures.,Free,Unknown,Unknown,Medium to large,4,3,10:00–16:00,Waterfront crowd; performers; families; industrial architecture; sunset views,Waterfront location offers strong late-day and sunset potential.,"Evening events offer skyline, stage-light, and industrial-background opportunities.",Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Unknown,Yes,No,No,No,No,Brooklyn Army Terminal / NYCEDC and event partners,https://brooklynarmyterminal.com/events,Unknown,Unknown,Unknown,https://brooklynarmyterminal.com/events,Unknown,Unknown,High,2026-07-16,"Date, time, event description, venue area, and address verified from the current official Brooklyn Army Terminal event calendar. Ticket links and programming remain subject to organizer changes."
NYC-2026-MN-000120,FIFA-WORLD-CUP-FINAL-WATCH-CENTRAL-PARK,FIFA World Cup 2026 Final Watch Party at Central Park,Confirmed,Annual / Returning,Unknown,Public Watch Party,World Cup final viewing event,2026-07-19,2026-07-19,Sunday,Unknown,Unknown,Official page confirms the date and all-day entertainment context but does not publish public gate or end times in the reviewed material.,Manhattan,Central Park,"Great Lawn, Central Park","Great Lawn, Central Park, New York, NY",Central Park,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Great+Lawn%2C+Central+Park%2C+New+York%2C+NY,https://maps.apple.com/?q=Great+Lawn%2C+Central+Park%2C+New+York%2C+NY,Unknown,Unknown,Unknown,Free ticket required; allocated through public draw,https://www.globalcitizen.org/en/events-broadcasts/fifa-world-cup-final-watch-party/,"50,000",Massive,5,5,"Ticket-holder arrival, pre-match DJs and activations, kickoff, halftime, and final whistle",International soccer fans; giant screens; live entertainment; intense reactions; Central Park crowd,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Yes,Unknown,No,No,No,No,Global Citizen with FIFA and public partners,https://www.globalcitizen.org/en/events-broadcasts/fifa-world-cup-final-watch-party/,Unknown,Unknown,Unknown,https://www.globalcitizen.org/en/events-broadcasts/fifa-world-cup-final-watch-party/,Unknown,Unknown,High,2026-07-16,"Official page confirms July 19, 50,000 fans, free ticket draw, Great Lawn, giant screens, live entertainment, and halftime-show broadcast. Public opening and closing times were not stated."
NYC-2026-BX-000016,PERMIT-955158,Bronx River City of Water Day,Permitted,One-time / Unknown,Unknown,Waterfront Festival,Environmental and water-access event,2026-07-22,2026-07-22,Wednesday,12:00,16:00,Unknown,The Bronx,West Farms,Starlight Park,"Starlight Park, Bronx River Avenue, Bronx, NY",Bronx River Avenue,Unknown,Unknown,Starlight Park,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Starlight+Park%2C+Bronx+River+Avenue%2C+Bronx%2C+NY,https://maps.apple.com/?q=Starlight+Park%2C+Bronx+River+Avenue%2C+Bronx%2C+NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,4,3,12:00–16:00,Bronx River; environmental education; paddling or waterfront activity; families,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Unknown,Unknown,No,No,No,No,Bronx River Alliance / NYC Parks,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,Unknown,955158,Parks Department,https://data.cityofnewyork.us/resource/tvpp-9vvx.json,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,https://nyceventpermits.nyc.gov/cems/findevents,High,2026-07-16,"Approved public-event record extracted from NYC Permitted Event Information. Descriptive and editorial fields were normalized for this database; permit title, date, time, borough, location, agency, and permit ID are source facts."
NYC-2026-BK-000047,PERMIT-952341,Bike Safety Class — McCarren Park,Permitted,One-time / Unknown,Unknown,Bike Event,Public safety class,2026-07-23,2026-07-23,Thursday,08:30,17:30,Unknown,Brooklyn,Williamsburg / Greenpoint,McCarren Park — Bayard Street and Union Avenue Lawns,"McCarren Park, Bayard Street and Union Avenue, Brooklyn, NY",Bayard Street,Unknown,Unknown,Union Avenue,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=McCarren+Park%2C+Bayard+Street+and+Union+Avenue%2C+Brooklyn%2C+NY,https://maps.apple.com/?q=McCarren+Park%2C+Bayard+Street+and+Union+Avenue%2C+Brooklyn%2C+NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,3,2,08:30–17:30,Cyclists; safety instruction; families; park activity,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Unknown,Unknown,No,No,No,No,Permit applicant / NYC Parks,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,Unknown,952341,Parks Department,https://data.cityofnewyork.us/resource/tvpp-9vvx.json,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,https://nyceventpermits.nyc.gov/cems/findevents,High,2026-07-16,"Approved public-event record extracted from NYC Permitted Event Information. Descriptive and editorial fields were normalized for this database; permit title, date, time, borough, location, agency, and permit ID are source facts."
NYC-2026-BK-000048,BAT-SUMMER-TERMINAL,Summer at the Terminal: Salsa Night,Confirmed,Recurring venue series,Unknown,Dance Event,Outdoor salsa night,2026-07-23,2026-07-23,Thursday,16:00,20:00,Unknown,Brooklyn,Sunset Park,Brooklyn Army Terminal — Ferry Plaza Park,"140 58th Street, Brooklyn, NY 11220",58th Street,Unknown,Unknown,First Avenue / Brooklyn waterfront,11220,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=140+58th+Street%2C+Brooklyn%2C+NY+11220,https://maps.apple.com/?q=140+58th+Street%2C+Brooklyn%2C+NY+11220,N or R to 59th Street; additional ferry and bus options,Unknown,Venue advises checking pier and event-specific parking closures.,Free,Unknown,Unknown,Medium to large,4,3,16:00–20:00,Waterfront crowd; performers; families; industrial architecture; sunset views,Waterfront location offers strong late-day and sunset potential.,"Evening events offer skyline, stage-light, and industrial-background opportunities.",Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Yes,Unknown,No,No,No,No,Brooklyn Army Terminal / NYCEDC and event partners,https://brooklynarmyterminal.com/events,Unknown,Unknown,Unknown,https://brooklynarmyterminal.com/events,Unknown,Unknown,High,2026-07-16,"Date, time, event description, venue area, and address verified from the current official Brooklyn Army Terminal event calendar. Ticket links and programming remain subject to organizer changes."
NYC-2026-MN-000121,PERMIT-886963,Summer on the Hudson: North Park Yoga,Permitted,Recurring,Unknown,Public Fitness,Outdoor yoga,2026-07-23,2026-07-23,Thursday,18:00,20:00,Unknown,Manhattan,Hamilton Heights,Riverside Park — 145th Street Lawn,"Riverside Park at West 145th Street, New York, NY",Riverside Drive,Unknown,Unknown,West 145th Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Riverside+Park+at+West+145th+Street%2C+New+York%2C+NY,https://maps.apple.com/?q=Riverside+Park+at+West+145th+Street%2C+New+York%2C+NY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,3,2,18:00–20:00,Outdoor yoga; riverfront park; community wellness,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Unknown,Unknown,No,No,No,No,Summer on the Hudson / NYC Parks,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,Unknown,886963,Parks Department,https://data.cityofnewyork.us/resource/tvpp-9vvx.json,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,https://nyceventpermits.nyc.gov/cems/findevents,High,2026-07-16,"Approved public-event record extracted from NYC Permitted Event Information. Descriptive and editorial fields were normalized for this database; permit title, date, time, borough, location, agency, and permit ID are source facts."
NYC-2026-QN-000030,ANGELS-DISCO-NIGHT,Angels On The Bay Freestyle/Disco Night,Confirmed,Annual / Returning,Unknown,Charity Event,Dinner dance fundraiser,2026-07-23,2026-07-24,Thursday–Friday,19:00,00:00,Runs 7:00 PM to midnight.,Queens,Howard Beach,Russo’s On The Bay,"162-45 Cross Bay Boulevard, Howard Beach, NY 11414",Cross Bay Boulevard,Unknown,Unknown,Unknown,11414,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=162-45+Cross+Bay+Boulevard%2C+Howard+Beach%2C+NY+11414,https://maps.apple.com/?q=162-45+Cross+Bay+Boulevard%2C+Howard+Beach%2C+NY+11414,Unknown,Unknown,Unknown,$150,https://discofreestyle.givesmart.com/,Unknown,Large,4,3,19:00 arrivals and cocktail hour; later dance-floor coverage,Fundraiser arrivals; dinner; dancing; DJ; live performance; charity community,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Yes,Catered dinner,No,No,No,No,Angels On The Bay Children’s Charity,https://angelsonthebay.org/upcoming-event/,Unknown,Unknown,Unknown,https://www.russosonthebay.com/news-events/angels-on-the-bay-disco-night-2026/,https://angelsonthebay.org/upcoming-event/,Unknown,High,2026-07-16,"Russo’s official event page confirms venue, hours, ticket price, dinner, DJ and performance. Angels On The Bay confirms the date and start time."
NYC-2026-MN-000122,PERMIT-890793,Classical Theatre of Harlem Performance,Permitted,One-time / Unknown,Unknown,Theater,Outdoor theater performance,2026-07-24,2026-07-24,Friday,08:00,23:59,Unknown,Manhattan,Harlem,Marcus Garvey Park — Richard Rodgers Amphitheater,"Marcus Garvey Park, 18 Mount Morris Park West, New York, NY 10027",Mount Morris Park West,Unknown,Unknown,West 122nd Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Marcus+Garvey+Park%2C+18+Mount+Morris+Park+West%2C+New+York%2C+NY+10027,https://maps.apple.com/?q=Marcus+Garvey+Park%2C+18+Mount+Morris+Park+West%2C+New+York%2C+NY+10027,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,4,3,08:00–23:59,Actors; stage production; Harlem audience; amphitheater,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Yes,Unknown,No,No,No,No,Classical Theatre of Harlem / NYC Parks,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,Unknown,890793,Parks Department,https://data.cityofnewyork.us/resource/tvpp-9vvx.json,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,https://nyceventpermits.nyc.gov/cems/findevents,High,2026-07-16,"Approved public-event record extracted from NYC Permitted Event Information. Descriptive and editorial fields were normalized for this database; permit title, date, time, borough, location, agency, and permit ID are source facts."
NYC-2026-QN-000031,PERMIT-959804,Classic Film Fridays at Rufus King Park,Permitted,One-time / Unknown,Unknown,Film Screening,Outdoor movie series,2026-07-24,2026-07-24,Friday,18:00,23:00,Unknown,Queens,Jamaica,Rufus King Park,"Rufus King Park, 150-29 Jamaica Avenue, Jamaica, NY 11432",Jamaica Avenue,Unknown,Unknown,150th Street,Unknown,Unknown,Unknown,https://www.google.com/maps/search/?api=1&query=Rufus+King+Park%2C+150-29+Jamaica+Avenue%2C+Jamaica%2C+NY+11432,https://maps.apple.com/?q=Rufus+King+Park%2C+150-29+Jamaica+Avenue%2C+Jamaica%2C+NY+11432,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,3,2,18:00–23:00,Outdoor audience; movie screen; families; evening park life,Unknown,Unknown,Public-event access and organizer-specific credential policy should be confirmed before assignment.,Follow FAA requirements and NYC launch/landing restrictions; event-specific authorization unknown.,Unknown,Unknown,No,No,No,No,Permit applicant / NYC Parks,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,Unknown,959804,Parks Department,https://data.cityofnewyork.us/resource/tvpp-9vvx.json,https://data.cityofnewyork.us/City-Government/NYC-Permitted-Event-Information/tvpp-9vvx,https://nyceventpermits.nyc.gov/cems/findevents,High,2026-07-16,"Approved public-event record extracted from NYC Permitted Event Information. Descriptive and editorial fields were normalized for this database; permit title, date, time, borough, location, agency, and permit ID are source facts."
